"experiment","n","k","rep","penalty_svp","penalty_pelt","method","time","detected"
"vary_k",2000,37,2,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,38
"vary_k",2000,37,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00700000000000145,38
"vary_k",2000,38,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,39
"vary_k",2000,38,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00699999999999967,39
"vary_k",2000,39,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,41
"vary_k",2000,39,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0080000000000009,40
"vary_k",2000,40,2,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,41
"vary_k",2000,40,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00699999999999967,41
"vary_k",2000,0,3,30.4036098381683,15.2018049190842,"PELT",0.00400000000000134,1
"vary_k",2000,0,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.145,1
"vary_k",2000,1,3,30.4036098381683,15.2018049190842,"PELT",0.00200000000000067,2
"vary_k",2000,1,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.072000000000001,2
"vary_k",2000,2,3,30.4036098381683,15.2018049190842,"PELT",0.00600000000000023,3
"vary_k",2000,2,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0509999999999984,3
"vary_k",2000,3,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,4
"vary_k",2000,3,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0400000000000009,4
"vary_k",2000,4,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,5
"vary_k",2000,4,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.032,5
"vary_k",2000,5,3,30.4036098381683,15.2018049190842,"PELT",0.00199999999999889,6
"vary_k",2000,5,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0280000000000005,6
"vary_k",2000,6,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,8
"vary_k",2000,6,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0220000000000002,7
"vary_k",2000,7,3,30.4036098381683,15.2018049190842,"PELT",0.00200000000000067,8
"vary_k",2000,7,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0200000000000014,8
"vary_k",2000,8,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,9
"vary_k",2000,8,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0190000000000001,9
"vary_k",2000,9,3,30.4036098381683,15.2018049190842,"PELT",0.00199999999999889,10
"vary_k",2000,9,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0170000000000012,10
"vary_k",2000,10,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,11
"vary_k",2000,10,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.016,11
"vary_k",2000,11,3,30.4036098381683,15.2018049190842,"PELT",0.00200000000000067,12
"vary_k",2000,11,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0139999999999993,12
"vary_k",2000,12,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,13
"vary_k",2000,12,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0139999999999993,13
"vary_k",2000,13,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,14
"vary_k",2000,13,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0129999999999999,14
