"experiment","n","k","rep","noise","method","time","nsegments","mean_candidates","max_candidates","error"
"no_change",3183,0,1,"student","SVP Wilcoxon",0.153,1,1592,3183,NA
"no_change",4096,0,1,"student","SVP Wilcoxon",0.26,1,2048.5,4096,NA
"no_change",256,0,2,"student","SVP Wilcoxon",0,1,128.5,256,NA
"no_change",329,0,2,"student","SVP Wilcoxon",0.00100000000000033,1,165,329,NA
"no_change",424,0,2,"student","SVP Wilcoxon",0.00200000000000067,1,212.5,424,NA
"no_change",545,0,2,"student","SVP Wilcoxon",0.00300000000000011,1,273,545,NA
"no_change",702,0,2,"student","SVP Wilcoxon",0.00600000000000023,1,351.5,702,NA
"no_change",903,0,2,"student","SVP Wilcoxon",0.00999999999999979,1,452,903,NA
"no_change",1162,0,2,"student","SVP Wilcoxon",0.0170000000000003,1,581.5,1162,NA
"no_change",1495,0,2,"student","SVP Wilcoxon",1.061,2,742.691638795985,1451,NA
"no_change",1923,0,2,"student","SVP Wilcoxon",0.0510000000000002,1,962,1923,NA
"no_change",2474,0,2,"student","SVP Wilcoxon",0.0889999999999995,1,1237.5,2474,NA
"no_change",3183,0,2,"student","SVP Wilcoxon",0.155,1,1592,3183,NA
"no_change",4096,0,2,"student","SVP Wilcoxon",0.276,1,2048.5,4096,NA
"no_change",256,0,3,"student","SVP Wilcoxon",0.00100000000000033,1,128.5,256,NA
"no_change",329,0,3,"student","SVP Wilcoxon",0.00100000000000033,1,165,329,NA
"no_change",424,0,3,"student","SVP Wilcoxon",0.00200000000000067,1,212.5,424,NA
"no_change",545,0,3,"student","SVP Wilcoxon",0.00300000000000011,1,273,545,NA
"no_change",702,0,3,"student","SVP Wilcoxon",0.00599999999999934,1,351.5,702,NA
"no_change",903,0,3,"student","SVP Wilcoxon",0.00999999999999979,1,452,903,NA
"no_change",1162,0,3,"student","SVP Wilcoxon",0.0180000000000007,1,581.5,1162,NA
"no_change",1495,0,3,"student","SVP Wilcoxon",0.0330000000000013,1,748,1495,NA
"no_change",1923,0,3,"student","SVP Wilcoxon",0.0519999999999996,1,962,1923,NA
"no_change",2474,0,3,"student","SVP Wilcoxon",0.0879999999999992,1,1237.5,2474,NA
"no_change",3183,0,3,"student","SVP Wilcoxon",0.157,1,1592,3183,NA
"no_change",4096,0,3,"student","SVP Wilcoxon",0.279,1,2048.5,4096,NA
"no_change",256,0,4,"student","SVP Wilcoxon",0,1,128.5,256,NA
"no_change",329,0,4,"student","SVP Wilcoxon",0.00200000000000067,1,165,329,NA
"no_change",424,0,4,"student","SVP Wilcoxon",0.00199999999999889,1,212.5,424,NA
"no_change",545,0,4,"student","SVP Wilcoxon",0.00399999999999956,1,273,545,NA
"no_change",702,0,4,"student","SVP Wilcoxon",0.00600000000000023,1,351.5,702,NA
"no_change",903,0,4,"student","SVP Wilcoxon",0.00999999999999979,1,452,903,NA
"no_change",1162,0,4,"student","SVP Wilcoxon",0.0180000000000007,1,581.5,1162,NA
"no_change",1495,0,4,"student","SVP Wilcoxon",0.0300000000000011,1,748,1495,NA
"no_change",1923,0,4,"student","SVP Wilcoxon",0.0510000000000002,1,962,1923,NA
"no_change",2474,0,4,"student","SVP Wilcoxon",0.0879999999999992,1,1237.5,2474,NA
"no_change",3183,0,4,"student","SVP Wilcoxon",0.15,1,1592,3183,NA
"no_change",4096,0,4,"student","SVP Wilcoxon",0.262,1,2048.5,4096,NA
"no_change",256,0,5,"student","SVP Wilcoxon",0.000999999999999446,1,128.5,256,NA
"no_change",329,0,5,"student","SVP Wilcoxon",0.000999999999999446,1,165,329,NA
"no_change",424,0,5,"student","SVP Wilcoxon",0.00200000000000067,1,212.5,424,NA
"no_change",545,0,5,"student","SVP Wilcoxon",0.00300000000000011,1,273,545,NA
"no_change",702,0,5,"student","SVP Wilcoxon",0.0080000000000009,1,351.5,702,NA
"no_change",903,0,5,"student","SVP Wilcoxon",0.0119999999999987,1,452,903,NA
"no_change",1162,0,5,"student","SVP Wilcoxon",0.0179999999999989,1,581.5,1162,NA
"no_change",1495,0,5,"student","SVP Wilcoxon",0.0310000000000006,1,748,1495,NA
"no_change",1923,0,5,"student","SVP Wilcoxon",0.0560000000000009,1,962,1923,NA
"no_change",2474,0,5,"student","SVP Wilcoxon",0.0890000000000004,1,1237.5,2474,NA
"no_change",3183,0,5,"student","SVP Wilcoxon",0.161999999999999,1,1592,3183,NA
"no_change",4096,0,5,"student","SVP Wilcoxon",0.279,1,2048.5,4096,NA
"no_change",256,0,6,"student","SVP Wilcoxon",0.00100000000000122,1,128.5,256,NA
"no_change",329,0,6,"student","SVP Wilcoxon",0.000999999999999446,1,165,329,NA
"no_change",424,0,6,"student","SVP Wilcoxon",0.00200000000000067,1,212.5,424,NA
"no_change",545,0,6,"student","SVP Wilcoxon",0.00399999999999956,1,273,545,NA
"no_change",702,0,6,"student","SVP Wilcoxon",0.00599999999999845,1,351.5,702,NA
"no_change",903,0,6,"student","SVP Wilcoxon",0.0129999999999999,1,452,903,NA
"no_change",1162,0,6,"student","SVP Wilcoxon",0.0169999999999995,1,581.5,1162,NA
"no_change",1495,0,6,"student","SVP Wilcoxon",0.0299999999999994,1,748,1495,NA
"no_change",1923,0,6,"student","SVP Wilcoxon",0.0540000000000003,1,962,1923,NA
"no_change",2474,0,6,"student","SVP Wilcoxon",0.0960000000000001,1,1237.5,2474,NA
"no_change",3183,0,6,"student","SVP Wilcoxon",0.156000000000001,1,1592,3183,NA
"no_change",4096,0,6,"student","SVP Wilcoxon",0.26,1,2048.5,4096,NA
"no_change",256,0,7,"student","SVP Wilcoxon",0.00100000000000122,1,128.5,256,NA
"no_change",329,0,7,"student","SVP Wilcoxon",0.000999999999999446,1,165,329,NA
"no_change",424,0,7,"student","SVP Wilcoxon",0.00199999999999889,1,212.5,424,NA
"no_change",545,0,7,"student","SVP Wilcoxon",0.00399999999999956,1,273,545,NA
"no_change",702,0,7,"student","SVP Wilcoxon",0.00600000000000023,1,351.5,702,NA
"no_change",903,0,7,"student","SVP Wilcoxon",0.00999999999999979,1,452,903,NA
"no_change",1162,0,7,"student","SVP Wilcoxon",0.0169999999999995,1,581.5,1162,NA
"no_change",1495,0,7,"student","SVP Wilcoxon",0.0300000000000011,1,748,1495,NA
"no_change",1923,0,7,"student","SVP Wilcoxon",0.0520000000000014,1,962,1923,NA
"no_change",2474,0,7,"student","SVP Wilcoxon",0.088000000000001,1,1237.5,2474,NA
"no_change",3183,0,7,"student","SVP Wilcoxon",0.152000000000001,1,1592,3183,NA
"no_change",4096,0,7,"student","SVP Wilcoxon",0.266,1,2048.5,4096,NA
"no_change",256,0,8,"student","SVP Wilcoxon",0,1,128.5,256,NA
"no_change",329,0,8,"student","SVP Wilcoxon",0.00100000000000122,1,165,329,NA
"no_change",424,0,8,"student","SVP Wilcoxon",0.00199999999999889,1,212.5,424,NA
