"n","rep","time"
2844,15,0.00100000000000011
2844,16,0
2844,17,0.00099999999999989
2844,18,0
2844,19,0.00100000000000011
2844,20,0
3291,1,0
3291,2,0.00099999999999989
3291,3,0.00099999999999989
3291,4,0
3291,5,0.00099999999999989
3291,6,0.00099999999999989
3291,7,0
3291,8,0.00100000000000011
3291,9,0
3291,10,0.00099999999999989
3291,11,0.00100000000000011
3291,12,0.00099999999999989
3291,13,0
3291,14,0
3291,15,0.00099999999999989
3291,16,0.00099999999999989
3291,17,0
3291,18,0.00099999999999989
3291,19,0.00100000000000011
3291,20,0.00100000000000011
3808,1,0.00100000000000011
3808,2,0
3808,3,0
3808,4,0.00100000000000011
3808,5,0
3808,6,0.00100000000000011
3808,7,0
3808,8,0.00100000000000011
3808,9,0
3808,10,0
3808,11,0
3808,12,0
3808,13,0.00100000000000011
3808,14,0.00099999999999989
3808,15,0.00100000000000011
3808,16,0
3808,17,0.00099999999999989
3808,18,0
3808,19,0
3808,20,0
4406,1,0
4406,2,0.00099999999999989
4406,3,0.00099999999999989
4406,4,0
4406,5,0.00099999999999989
4406,6,0
4406,7,0
4406,8,0
4406,9,0
4406,10,0.00100000000000011
4406,11,0.00099999999999989
4406,12,0.00100000000000011
4406,13,0.00100000000000033
4406,14,0.00099999999999989
4406,15,0.00099999999999989
4406,16,0
4406,17,0.00099999999999989
4406,18,0.00100000000000033
4406,19,0
4406,20,0.00100000000000033
5098,1,0
5098,2,0
5098,3,0.00099999999999989
5098,4,0.00099999999999989
5098,5,0
5098,6,0
5098,7,0
5098,8,0
5098,9,0.00099999999999989
5098,10,0.00100000000000033
5098,11,0
5098,12,0
5098,13,0.00099999999999989
5098,14,0.00099999999999989
5098,15,0
5098,16,0.00099999999999989
5098,17,0
5098,18,0.00099999999999989
5098,19,0.00099999999999989
5098,20,0.00099999999999989
5899,1,0.00100000000000033
5899,2,0.00099999999999989
5899,3,0
5899,4,0.00100000000000033
5899,5,0.00099999999999989
5899,6,0.00099999999999989
5899,7,0
5899,8,0.00099999999999989
5899,9,0.00099999999999989
5899,10,0.00100000000000033
5899,11,0.00099999999999989
5899,12,0.00099999999999989
5899,13,0.00099999999999989
5899,14,0.00099999999999989
5899,15,0
5899,16,0.00100000000000033
5899,17,0.00099999999999989
5899,18,0.00099999999999989
5899,19,0.00099999999999989
5899,20,0
6826,1,0.00099999999999989
6826,2,0.00099999999999989
6826,3,0.00100000000000033
6826,4,0.00099999999999989
6826,5,0.00100000000000033
6826,6,0
6826,7,0.00099999999999989
6826,8,0
6826,9,0.00099999999999989
6826,10,0.00100000000000033
6826,11,0.00099999999999989
