"experiment","n","k","rep","noise","method","time","nsegments","mean_candidates","max_candidates","error"
"vary_k",2000,12,4,"student","SVP Gaussian",0.00600000000000023,108,27.5130000000001,106,NA
"vary_k",2000,13,4,"student","SVP Gaussian",0.00699999999999079,128,29.0719999999999,142,NA
"vary_k",2000,14,4,"student","SVP Gaussian",0.00600000000000023,105,24.8555000000001,135,NA
"vary_k",2000,15,4,"student","SVP Gaussian",0.00600000000000023,125,23.622,95,NA
"vary_k",2000,16,4,"student","SVP Gaussian",0.00600000000000023,147,20.339,91,NA
"vary_k",2000,17,4,"student","SVP Gaussian",0.00600000000000023,111,24.9755,112,NA
"vary_k",2000,18,4,"student","SVP Gaussian",0.00699999999999079,118,26.2630000000001,104,NA
"vary_k",2000,19,4,"student","SVP Gaussian",0.00600000000000023,126,22.456,101,NA
"vary_k",2000,20,4,"student","SVP Gaussian",0.00600000000000023,132,22.647,87,NA
"vary_k",2000,21,4,"student","SVP Gaussian",0.00600000000000023,131,21.264,84,NA
"vary_k",2000,22,4,"student","SVP Gaussian",0.00600000000000023,120,22.295,87,NA
"vary_k",2000,23,4,"student","SVP Gaussian",0.00499999999999545,127,21.229,76,NA
"vary_k",2000,24,4,"student","SVP Gaussian",0.00600000000000023,135,21.2705,81,NA
"vary_k",2000,25,4,"student","SVP Gaussian",0.00600000000000023,129,19.186,78,NA
"vary_k",2000,26,4,"student","SVP Gaussian",0.00600000000000023,129,22.7815,75,NA
"vary_k",2000,27,4,"student","SVP Gaussian",0.00600000000000023,139,19.117,73,NA
"vary_k",2000,28,4,"student","SVP Gaussian",0.00499999999999545,143,18.7495,70,NA
"vary_k",2000,29,4,"student","SVP Gaussian",0.00600000000000023,112,21.435,69,NA
"vary_k",2000,30,4,"student","SVP Gaussian",0.00600000000000023,128,19.964,66,NA
"vary_k",2000,31,4,"student","SVP Gaussian",0.00600000000000023,128,19.078,64,NA
"vary_k",2000,32,4,"student","SVP Gaussian",0.00499999999999545,142,17.77,62,NA
