"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","MSE","NumSegments"
"updown",0.6,1,"SVP MedianMood",1,0.125,0.222222222222222,0,0.0912909865831675,1
"updown",0.6,1,"SVP Wilcoxon",0.25,0.25,0.25,1,0.104221691218801,8
"updown",0.6,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.714285714285714,0.625,0.666666666666667,0,0.0624314978132116,7
"updown",0.6,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.0900497160130015,1
"rand1",0.6,1,"PELT",0.0388349514563107,0.5,0.0720720720720721,0,6.48167602181247,103
"rand1",0.6,1,"RFPOP paper",0.142857142857143,0.125,0.133333333333333,0,0.121109075675336,7
"rand1",0.6,1,"SVP MedianMood",0.333333333333333,0.125,0.181818181818182,0,0.174628526191459,3
"rand1",0.6,1,"SVP Wilcoxon",0.428571428571429,0.375,0.4,0,0.128800130534635,7
"rand1",0.6,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.428571428571429,0.375,0.4,0,0.119571493852374,7
"rand1",0.6,1,"RFPOP (null-matched c=2.75)",0.333333333333333,0.125,0.181818181818182,0,0.184882323972629,3
"none",0.7,1,"PELT",0.0125,1,0.0246913580246914,0,5.10231604805614,80
"none",0.7,1,"RFPOP paper",0.333333333333333,1,0.5,0,0.0440759494967314,3
"none",0.7,1,"SVP MedianMood",1,1,1,1,0.000492410005849119,1
"none",0.7,1,"SVP Wilcoxon",1,1,1,1,0.000492410005849119,1
"none",0.7,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",1,1,1,1,0.000492410005849119,1
"none",0.7,1,"RFPOP (null-matched c=2.75)",1,1,1,1,8.77168450255561e-05,1
"up",0.7,1,"PELT",0.0379746835443038,0.375,0.0689655172413793,0,5.97985615179223,79
"up",0.7,1,"RFPOP paper",0.333333333333333,0.25,0.285714285714286,0,0.282069937510044,6
"up",0.7,1,"SVP MedianMood",0.25,0.125,0.166666666666667,0,0.345837368353568,4
"up",0.7,1,"SVP Wilcoxon",0.125,0.125,0.125,1,0.254482619370374,8
"up",0.7,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.285714285714286,0.25,0.266666666666667,0,0.12398777889448,7
"up",0.7,1,"RFPOP (null-matched c=2.75)",0.25,0.125,0.166666666666667,0,0.289887069417787,4
"updown",0.7,1,"PELT",0.0123456790123457,0.125,0.0224719101123595,0,8.01039524510936,81
"updown",0.7,1,"RFPOP paper",0.2,0.125,0.153846153846154,0,0.121809292003478,5
"updown",0.7,1,"SVP MedianMood",1,0.125,0.222222222222222,0,0.141659276673269,1
"updown",0.7,1,"SVP Wilcoxon",0.375,0.375,0.375,1,0.131088214830457,8
