"experiment","n","k","rep","method","time","detected"
"vary_n",690,0,7,"SVP BIC multiscale",0.00200000000000067,84
"vary_n",690,0,8,"PELT",0.000999999999999446,65
"vary_n",690,0,8,"SVP Wilcoxon",0,43
"vary_n",690,0,8,"SVP MedianMood",0,1
"vary_n",690,0,8,"SVP BIC multiscale",0.00200000000000067,73
"vary_n",690,0,9,"PELT",0.000999999999999446,55
"vary_n",690,0,9,"SVP Wilcoxon",0.000999999999999446,45
"vary_n",690,0,9,"SVP MedianMood",0,1
"vary_n",690,0,9,"SVP BIC multiscale",0.00200000000000067,61
"vary_n",690,0,10,"PELT",0.00100000000000122,54
"vary_n",690,0,10,"SVP Wilcoxon",0.000999999999999446,45
"vary_n",690,0,10,"SVP MedianMood",0.000999999999999446,1
"vary_n",690,0,10,"SVP BIC multiscale",0.000999999999999446,66
"vary_n",781,0,1,"PELT",0.000999999999999446,60
"vary_n",781,0,1,"SVP Wilcoxon",0,49
"vary_n",781,0,1,"SVP MedianMood",0.000999999999999446,1
"vary_n",781,0,1,"SVP BIC multiscale",0.000999999999999446,65
"vary_n",781,0,2,"PELT",0.000999999999999446,64
"vary_n",781,0,2,"SVP Wilcoxon",0,51
"vary_n",781,0,2,"SVP MedianMood",0,1
"vary_n",781,0,2,"SVP BIC multiscale",0.00200000000000067,82
"vary_n",781,0,3,"PELT",0.000999999999999446,75
"vary_n",781,0,3,"SVP Wilcoxon",0.000999999999999446,51
"vary_n",781,0,3,"SVP MedianMood",0.000999999999999446,1
"vary_n",781,0,3,"SVP BIC multiscale",0.000999999999999446,88
"vary_n",781,0,4,"PELT",0.000999999999999446,66
"vary_n",781,0,4,"SVP Wilcoxon",0.000999999999999446,51
"vary_n",781,0,4,"SVP MedianMood",0,1
"vary_n",781,0,4,"SVP BIC multiscale",0.00200000000000067,70
"vary_n",781,0,5,"PELT",0.000999999999999446,64
"vary_n",781,0,5,"SVP Wilcoxon",0,50
"vary_n",781,0,5,"SVP MedianMood",0.119,2
"vary_n",781,0,5,"SVP BIC multiscale",0.00199999999999889,76
"vary_n",781,0,6,"PELT",0.00199999999999889,71
"vary_n",781,0,6,"SVP Wilcoxon",0,48
"vary_n",781,0,6,"SVP MedianMood",0,1
"vary_n",781,0,6,"SVP BIC multiscale",0.00200000000000244,88
"vary_n",781,0,7,"PELT",0.000999999999997669,72
"vary_n",781,0,7,"SVP Wilcoxon",0.00100000000000122,50
"vary_n",781,0,7,"SVP MedianMood",0,1
"vary_n",781,0,7,"SVP BIC multiscale",0.00199999999999889,77
"vary_n",781,0,8,"PELT",0.00100000000000122,52
"vary_n",781,0,8,"SVP Wilcoxon",0,51
"vary_n",781,0,8,"SVP MedianMood",0.000999999999997669,1
"vary_n",781,0,8,"SVP BIC multiscale",0.00199999999999889,59
"vary_n",781,0,9,"PELT",0.000999999999997669,59
"vary_n",781,0,9,"SVP Wilcoxon",0.000999999999997669,50
"vary_n",781,0,9,"SVP MedianMood",0.00100000000000122,1
"vary_n",781,0,9,"SVP BIC multiscale",0.000999999999997669,78
"vary_n",781,0,10,"PELT",0.00100000000000122,62
"vary_n",781,0,10,"SVP Wilcoxon",0.00100000000000122,52
"vary_n",781,0,10,"SVP MedianMood",0.00100000000000122,1
"vary_n",781,0,10,"SVP BIC multiscale",0.00299999999999656,76
"vary_n",883,0,1,"PELT",0.000999999999997669,64
"vary_n",883,0,1,"SVP Wilcoxon",0,57
"vary_n",883,0,1,"SVP MedianMood",0.00200000000000244,1
"vary_n",883,0,1,"SVP BIC multiscale",0.00199999999999889,68
"vary_n",883,0,2,"PELT",0.00199999999999889,69
"vary_n",883,0,2,"SVP Wilcoxon",0,55
"vary_n",883,0,2,"SVP MedianMood",0,1
"vary_n",883,0,2,"SVP BIC multiscale",0.00199999999999889,78
"vary_n",883,0,3,"PELT",0.000999999999997669,85
"vary_n",883,0,3,"SVP Wilcoxon",0.00100000000000122,57
"vary_n",883,0,3,"SVP MedianMood",0.00100000000000122,1
"vary_n",883,0,3,"SVP BIC multiscale",0.00199999999999889,96
"vary_n",883,0,4,"PELT",0.00100000000000122,75
"vary_n",883,0,4,"SVP Wilcoxon",0.00100000000000122,59
"vary_n",883,0,4,"SVP MedianMood",0,1
