"pattern","jump","method","F1_new","Precision_new","Recall_new","CorrectNumCP_new","MSE_new","NumSegments_new","F1_old","Precision_old","Recall_old","CorrectNumCP_old","MSE_old","NumSegments_old","delta_F1","delta_Precision","delta_Recall","delta_CorrectNumCP","delta_MSE","delta_NumSegments"
"none",4.4,"DeCAFS AR1",1,1,1,1,0.0166839679491049,1,0.93,0.93,0.93,0.93,0.0196874694693693,1.07,0.0700000000000001,0.0700000000000001,0.0700000000000001,0.0700000000000001,-0.00300350152026444,-0.0700000000000001
"none",4.4,"PELT AR1 approximate",1,1,1,1,0.0166839679491049,1,1,1,1,1,0.0166839679491049,1,0,0,0,0,0,0
"none",4.4,"PELT inflated",1,1,1,1,0.0166839679491049,1,1,1,1,1,0.0166839679491049,1,0,0,0,0,0,0
"none",4.4,"SVP AR1Focus",1,1,1,1,0.0166839679491049,1,1,1,1,1,0.0166839679491049,1,0,0,0,0,0,0
"none",4.6,"DeCAFS AR1",0.99,0.99,0.99,0.99,0.0162013153691051,1.01,0.96,0.96,0.96,0.96,0.0194667291413644,1.04,0.03,0.03,0.03,0.03,-0.00326541377225931,-0.03
"none",4.6,"PELT AR1 approximate",0.98,0.98,0.98,0.98,0.0210035396669441,1.03,1,1,1,1,0.0160437568255788,1,-0.02,-0.02,-0.02,-0.02,0.00495978284136532,0.03
"none",4.6,"PELT inflated",1,1,1,1,0.0160437568255788,1,1,1,1,1,0.0160437568255788,1,0,0,0,0,0,0
"none",4.6,"SVP AR1Focus",1,1,1,1,0.0160437568255788,1,1,1,1,1,0.0160437568255788,1,0,0,0,0,0,0
"none",4.8,"DeCAFS AR1",0.99,0.99,0.99,0.99,0.0160963972307432,1.01,0.99,0.99,0.99,0.99,0.0160963972307432,1.01,0,0,0,0,0,0
"none",4.8,"PELT AR1 approximate",1,1,1,1,0.0153156410083929,1,1,1,1,1,0.0153156410083929,1,0,0,0,0,0,0
"none",4.8,"PELT inflated",1,1,1,1,0.0153156410083929,1,1,1,1,1,0.0153156410083929,1,0,0,0,0,0,0
"none",4.8,"SVP AR1Focus",1,1,1,1,0.0153156410083929,1,1,1,1,1,0.0153156410083929,1,0,0,0,0,0,0
"none",5,"DeCAFS AR1",0.98,0.98,0.98,0.98,0.0202882848893401,1.02,0.93,0.93,0.93,0.93,0.0222906418004973,1.07,0.05,0.05,0.05,0.05,-0.00200235691115721,-0.05
"none",5,"PELT AR1 approximate",1,1,1,1,0.0181359598424468,1,1,1,1,1,0.0181359598424468,1,0,0,0,0,0,0
"none",5,"PELT inflated",1,1,1,1,0.0181359598424468,1,1,1,1,1,0.0181359598424468,1,0,0,0,0,0,0
"none",5,"SVP AR1Focus",1,1,1,1,0.0181359598424468,1,1,1,1,1,0.0181359598424468,1,0,0,0,0,0,0
"rand1",1,"DeCAFS AR1",0.0125,0.05,0.00714285714285714,0,0.592912128951005,1.09,0.0523888888888889,0.18,0.0314285714285714,0,0.575063564511352,1.3,-0.0398888888888889,-0.13,-0.0242857142857143,0,0.0178485644396524,-0.21
"rand1",1,"PELT AR1 approximate",0.177376068376068,0.3295,0.127142857142857,0,0.496883733098419,2.62,0,0,0,0,0.594847229978414,1,0.177376068376068,0.3295,0.127142857142857,0,-0.097963496879995,1.62
"rand1",1,"PELT inflated",0.0402777777777778,0.13,0.0242857142857143,0,0.587072257100864,1.22,0.0402777777777778,0.13,0.0242857142857143,0,0.587072257100864,1.22,0,0,0,0,0,0
"rand1",1,"SVP AR1Focus",0.125444444444444,0.328333333333333,0.08,0,0.515990916050264,2.18,0.00999999999999999,0.04,0.00571428571428571,0,0.594100883964639,1.05,0.115444444444444,0.288333333333333,0.0742857142857143,0,-0.0781099679143747,1.13
"rand1",1.2,"DeCAFS AR1",0.0225,0.09,0.0128571428571429,0,0.844542980338882,1.11,0.144555555555556,0.378333333333333,0.0928571428571428,0,0.741692384598906,1.77,-0.122055555555556,-0.288333333333333,-0.08,0,0.102850595739976,-0.66
"rand1",1.2,"PELT AR1 approximate",0.354718781218781,0.552095238095238,0.271428571428571,0.02,0.513302799219626,4.07,0,0,0,0,0.859823796838304,1,0.354718781218781,0.552095238095238,0.271428571428571,0.02,-0.346520997618678,3.07
"rand1",1.2,"PELT inflated",0.122666666666667,0.29,0.08,0,0.764766950177342,1.65,0.122666666666667,0.29,0.08,0,0.764766950177342,1.65,0,0,0,0,0,0
"rand1",1.2,"SVP AR1Focus",0.289262626262626,0.595,0.195714285714286,0,0.578541112820966,3.12,0.0275,0.11,0.0157142857142857,0,0.832135438279908,1.19,0.261762626262626,0.485,0.18,0,-0.253594325458942,1.93
"rand1",1.4,"DeCAFS AR1",0.0669444444444444,0.26,0.0385714285714286,0,1.0864559181795,1.3,0.318621212121212,0.7025,0.215714285714286,0,0.796248063352729,2.54,-0.251676767676768,-0.4425,-0.177142857142857,0,0.290207854826776,-1.24
"rand1",1.4,"PELT AR1 approximate",0.516514152514152,0.653035714285714,0.444285714285714,0.07,0.410355974780021,5.76,0.0025,0.01,0.00142857142857143,0,1.150806501647,1.02,0.514014152514153,0.643035714285714,0.442857142857143,0.07,-0.74045052686698,4.74
