"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"updown",1.8,1,"SVP AR1Focus",0.333333333333333,0.125,0.181818181818182,0,NA,0.994417363763085,3
"updown",1.8,1,"SVP AR1Focus multiscale",0.263157894736842,0.625,0.37037037037037,0,NA,1.30707428199442,19
"rand1",1.8,1,"PELT inflated",0.666666666666667,0.25,0.363636363636364,0,NA,1.96360542793338,3
"rand1",1.8,1,"PELT AR1 approximate",0.625,0.625,0.625,1,75,0.893629269694683,8
"rand1",1.8,1,"DeCAFS AR1",1,0.5,0.666666666666667,0,NA,1.08453501339358,4
"rand1",1.8,1,"SVP AR1Focus",0.666666666666667,0.25,0.363636363636364,0,NA,1.96360542793338,3
"rand1",1.8,1,"SVP AR1Focus multiscale",0.357142857142857,0.625,0.454545454545455,0,NA,1.09116189095503,14
"none",1.9,1,"PELT inflated",1,1,1,1,NA,0.348972432382048,1
"none",1.9,1,"PELT AR1 approximate",0.0909090909090909,1,0.166666666666667,0,NA,0.996567482711668,11
"none",1.9,1,"DeCAFS AR1",1,1,1,1,NA,0.348972432382048,1
"none",1.9,1,"SVP AR1Focus",1,1,1,1,NA,0.348972432382048,1
"none",1.9,1,"SVP AR1Focus multiscale",0.0555555555555556,1,0.105263157894737,0,NA,1.41208435901942,18
"up",1.9,1,"PELT inflated",0.5,0.25,0.333333333333333,0,NA,1.55314441062942,4
"up",1.9,1,"PELT AR1 approximate",0.555555555555556,0.625,0.588235294117647,0,NA,0.830165389675976,9
"up",1.9,1,"DeCAFS AR1",0.833333333333333,0.625,0.714285714285714,0,NA,1.02381010322201,6
"up",1.9,1,"SVP AR1Focus",0.5,0.25,0.333333333333333,0,NA,1.55314441062942,4
"up",1.9,1,"SVP AR1Focus multiscale",0.461538461538462,0.75,0.571428571428571,0,NA,0.67188451900536,13
"updown",1.9,1,"PELT inflated",0.5,0.125,0.2,0,NA,1.04020342432208,2
"updown",1.9,1,"PELT AR1 approximate",0.333333333333333,0.5,0.4,0,NA,0.563458840511472,12
"updown",1.9,1,"DeCAFS AR1",0.5,0.125,0.2,0,NA,0.877391003986409,2
"updown",1.9,1,"SVP AR1Focus",0.5,0.125,0.2,0,NA,1.04020342432208,2
"updown",1.9,1,"SVP AR1Focus multiscale",0.333333333333333,0.625,0.434782608695652,0,NA,0.57640573457384,15
"rand1",1.9,1,"PELT inflated",0.5,0.375,0.428571428571429,0,NA,0.60333690763859,6
"rand1",1.9,1,"PELT AR1 approximate",0.454545454545455,0.625,0.526315789473684,0,NA,0.428807846878821,11
"rand1",1.9,1,"DeCAFS AR1",1,0.75,0.857142857142857,0,NA,0.14075093101633,6
"rand1",1.9,1,"SVP AR1Focus",0.25,0.125,0.166666666666667,0,NA,1.19237862361998,4
"rand1",1.9,1,"SVP AR1Focus multiscale",0.307692307692308,0.5,0.380952380952381,0,NA,0.59716518285006,13
"none",2,1,"PELT inflated",1,1,1,1,NA,0.0100756056806012,1
"none",2,1,"PELT AR1 approximate",0.2,1,0.333333333333333,0,NA,0.333349027636525,5
"none",2,1,"DeCAFS AR1",1,1,1,1,NA,0.0100756056806012,1
"none",2,1,"SVP AR1Focus",1,1,1,1,NA,0.0100756056806012,1
"none",2,1,"SVP AR1Focus multiscale",0.0909090909090909,1,0.166666666666667,0,NA,0.318856337723898,11
"up",2,1,"PELT inflated",0.6,0.375,0.461538461538462,0,NA,1.0943382782621,5
"up",2,1,"PELT AR1 approximate",0.416666666666667,0.625,0.5,0,NA,1.43004738193008,12
"up",2,1,"DeCAFS AR1",0.4,0.25,0.307692307692308,0,NA,1.22945126365729,5
"up",2,1,"SVP AR1Focus",0.5,0.25,0.333333333333333,0,NA,1.66289958609076,4
"up",2,1,"SVP AR1Focus multiscale",0.428571428571429,0.75,0.545454545454545,0,NA,1.3999957582482,14
"updown",2,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,1.04690386557552,1
"updown",2,1,"PELT AR1 approximate",0.5,0.5,0.5,1,110,1.14957998305925,8
"updown",2,1,"DeCAFS AR1",1,0.375,0.545454545454545,0,NA,1.11796398075121,3
"updown",2,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,1.04690386557552,1
"updown",2,1,"SVP AR1Focus multiscale",0.307692307692308,0.5,0.380952380952381,0,NA,0.835636404749954,13
"rand1",2,1,"PELT inflated",0.666666666666667,0.5,0.571428571428572,0,NA,0.685499824777654,6
"rand1",2,1,"PELT AR1 approximate",0.625,0.625,0.625,1,157,0.416478182948003,8
"rand1",2,1,"DeCAFS AR1",0.833333333333333,0.625,0.714285714285714,0,NA,0.412842326020208,6
"rand1",2,1,"SVP AR1Focus",0.8,0.5,0.615384615384615,0,NA,0.84004297379784,5
"rand1",2,1,"SVP AR1Focus multiscale",0.454545454545455,0.625,0.526315789473684,0,NA,0.552302442314051,11
"none",2.1,1,"PELT inflated",1,1,1,1,NA,0.0035963820772681,1
