"experiment","n","k","rep","method","time","detected"
"vary_n",614,0,13,"PELT",0.000999999999999446,1
"vary_n",614,0,13,"SVP BIC",0.000999999999999446,1
"vary_n",614,0,13,"SVP BIC calibrated",0.00100000000000122,1
"vary_n",614,0,13,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",614,0,14,"PELT",0.000999999999999446,1
"vary_n",614,0,14,"SVP BIC",0.000999999999999446,1
"vary_n",614,0,14,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",614,0,14,"SVP BIC multiscale",0.0100000000000016,1
"vary_n",614,0,15,"PELT",0.00100000000000122,1
"vary_n",614,0,15,"SVP BIC",0.00100000000000122,1
"vary_n",614,0,15,"SVP BIC calibrated",0.00100000000000122,1
"vary_n",614,0,15,"SVP BIC multiscale",0.011000000000001,1
"vary_n",614,0,16,"PELT",0.000999999999999446,1
"vary_n",614,0,16,"SVP BIC",0.000999999999999446,1
"vary_n",614,0,16,"SVP BIC calibrated",0.00899999999999856,2
"vary_n",614,0,16,"SVP BIC multiscale",0.00999999999999979,2
"vary_n",614,0,17,"PELT",0.00100000000000122,1
"vary_n",614,0,17,"SVP BIC",0.000999999999999446,1
"vary_n",614,0,17,"SVP BIC calibrated",0,1
"vary_n",614,0,17,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",614,0,18,"PELT",0,1
"vary_n",614,0,18,"SVP BIC",0,1
"vary_n",614,0,18,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",614,0,18,"SVP BIC multiscale",0.00500000000000078,3
"vary_n",614,0,19,"PELT",0.000999999999999446,1
"vary_n",614,0,19,"SVP BIC",0.00100000000000122,1
"vary_n",614,0,19,"SVP BIC calibrated",0,1
"vary_n",614,0,19,"SVP BIC multiscale",0.0109999999999992,1
"vary_n",614,0,20,"PELT",0.000999999999999446,1
"vary_n",614,0,20,"SVP BIC",0.00100000000000122,1
"vary_n",614,0,20,"SVP BIC calibrated",0,1
"vary_n",614,0,20,"SVP BIC multiscale",0.00600000000000023,2
"vary_n",765,0,1,"PELT",0.00100000000000122,1
"vary_n",765,0,1,"SVP BIC",0.000999999999999446,1
"vary_n",765,0,1,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",765,0,1,"SVP BIC multiscale",0.0170000000000012,1
"vary_n",765,0,2,"PELT",0.00100000000000122,1
"vary_n",765,0,2,"SVP BIC",0.00200000000000067,1
"vary_n",765,0,2,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",765,0,2,"SVP BIC multiscale",0.0150000000000006,1
"vary_n",765,0,3,"PELT",0.00100000000000122,1
"vary_n",765,0,3,"SVP BIC",0.000999999999999446,1
"vary_n",765,0,3,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",765,0,3,"SVP BIC multiscale",0.0170000000000012,1
"vary_n",765,0,4,"PELT",0.00100000000000122,1
"vary_n",765,0,4,"SVP BIC",0.00100000000000122,1
"vary_n",765,0,4,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",765,0,4,"SVP BIC multiscale",0.016,1
"vary_n",765,0,5,"PELT",0.000999999999999446,1
"vary_n",765,0,5,"SVP BIC",0.000999999999999446,1
"vary_n",765,0,5,"SVP BIC calibrated",0.00100000000000122,1
"vary_n",765,0,5,"SVP BIC multiscale",0.011000000000001,2
"vary_n",765,0,6,"PELT",0.00100000000000122,1
"vary_n",765,0,6,"SVP BIC",0.000999999999999446,1
"vary_n",765,0,6,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",765,0,6,"SVP BIC multiscale",0.016,1
"vary_n",765,0,7,"PELT",0.00100000000000122,1
"vary_n",765,0,7,"SVP BIC",0.000999999999999446,1
"vary_n",765,0,7,"SVP BIC calibrated",0.00100000000000122,1
"vary_n",765,0,7,"SVP BIC multiscale",0.0150000000000006,1
"vary_n",765,0,8,"PELT",0.00100000000000122,1
"vary_n",765,0,8,"SVP BIC",0.000999999999999446,1
"vary_n",765,0,8,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",765,0,8,"SVP BIC multiscale",0.00900000000000034,4
"vary_n",765,0,9,"PELT",0.000999999999999446,1
"vary_n",765,0,9,"SVP BIC",0.00100000000000122,1
"vary_n",765,0,9,"SVP BIC calibrated",0.00100000000000122,1
