"experiment","n","k","method","baseline_median","shortcut_median","median_speedup","matching_segment_counts","paired_rows"
"vary_k",10000,35,"SVP BIC multiscale",0.0799999999999841,0.081000000000131,0.987654320985861,10,10
"vary_k",10000,36,"PELT",0.00350000000003093,0.00399999999990541,0.875000000028423,10,10
"vary_k",10000,36,"SVP BIC",0.0760000000000218,0.0799999999999272,0.950000000001137,10,10
"vary_k",10000,36,"SVP BIC calibrated",0.0760000000000218,0.0790000000000646,0.962025316455185,10,10
"vary_k",10000,36,"SVP BIC multiscale",0.078000000000003,0.0779999999999745,1.00000000000036,10,10
"vary_k",10000,37,"PELT",0.00399999999996226,0.00350000000003092,1.14285714283626,10,10
"vary_k",10000,37,"SVP BIC",0.0769999999999982,0.0804999999999154,0.956521739131417,10,10
"vary_k",10000,37,"SVP BIC calibrated",0.0759999999999934,0.0819999999999936,0.926829268292674,10,10
"vary_k",10000,37,"SVP BIC multiscale",0.0780000000000314,0.0815000000000055,0.957055214724247,10,10
"vary_k",10000,38,"PELT",0.00399999999996226,0.00399999999990541,1.00000000001421,10,10
"vary_k",10000,38,"SVP BIC",0.0749999999999886,0.0760000000000218,0.986842105262725,10,10
"vary_k",10000,38,"SVP BIC calibrated",0.0740000000000123,0.0804999999999154,0.919254658386212,10,10
"vary_k",10000,38,"SVP BIC multiscale",0.075999999999965,0.0804999999999154,0.944099378882545,10,10
"vary_k",10000,39,"PELT",0.00300000000001432,0.00299999999992906,1.00000000002842,10,10
"vary_k",10000,39,"SVP BIC",0.0729999999999791,0.0795000000000528,0.91823899370982,10,10
"vary_k",10000,39,"SVP BIC calibrated",0.0730000000000359,0.0790000000000646,0.924050632911091,10,10
"vary_k",10000,39,"SVP BIC multiscale",0.0740000000000123,0.0779999999999745,0.948717948718417,10,10
"vary_k",10000,40,"PELT",0.00300000000004275,0.00299999999992906,1.0000000000379,10,10
"vary_k",10000,40,"SVP BIC",0.0715000000000146,0.0785000000000764,0.910828025477006,10,10
"vary_k",10000,40,"SVP BIC calibrated",0.0720000000000027,0.0785000000000764,0.917197452228441,10,10
"vary_k",10000,40,"SVP BIC multiscale",0.0730000000000359,0.0779999999999745,0.935897435898202,10,10
"vary_k",10000,41,"PELT",0.0029999999999859,0.00299999999992906,1.00000000001895,10,10
"vary_k",10000,41,"SVP BIC",0.0710000000000264,0.07650000000001,0.928104575163622,10,10
"vary_k",10000,41,"SVP BIC calibrated",0.070999999999998,0.0760000000000218,0.934210526315495,10,10
"vary_k",10000,41,"SVP BIC multiscale",0.0739999999999839,0.0750000000000455,0.986666666665853,10,10
"vary_k",10000,42,"PELT",0.0029999999999859,0.00300000000004274,0.999999999981052,10,10
"vary_k",10000,42,"SVP BIC",0.0690000000000168,0.0740000000000691,0.932432432431789,10,10
"vary_k",10000,42,"SVP BIC calibrated",0.0679999999999836,0.0740000000000691,0.918918918917839,10,10
"vary_k",10000,42,"SVP BIC multiscale",0.0700000000000216,0.0720000000001164,0.97222222222095,10,10
"vary_k",10000,43,"PELT",0.0029999999999859,0.00300000000004274,0.999999999981052,10,10
"vary_k",10000,43,"SVP BIC",0.0660000000000309,0.0724999999999909,0.910344827586747,10,10
"vary_k",10000,43,"SVP BIC calibrated",0.0660000000000025,0.0730000000000928,0.904109589039981,10,10
"vary_k",10000,43,"SVP BIC multiscale",0.0670000000000073,0.0710000000001401,0.943661971829227,10,10
"vary_k",10000,44,"PELT",0.00300000000001432,0.00299999999992906,1.00000000002842,10,10
"vary_k",10000,44,"SVP BIC",0.0645000000000095,0.0670000000000073,0.962686567164217,10,10
"vary_k",10000,44,"SVP BIC calibrated",0.0649999999999977,0.0670000000000073,0.970149253731203,10,10
"vary_k",10000,44,"SVP BIC multiscale",0.0660000000000025,0.0650000000000546,1.0153846153838,10,10
"vary_k",10000,45,"PELT",0.00300000000001432,0.00299999999992906,1.00000000002842,10,10
"vary_k",10000,45,"SVP BIC",0.0629999999999882,0.0660000000000309,0.954545454544829,10,10
"vary_k",10000,45,"SVP BIC calibrated",0.0629999999999882,0.0660000000000309,0.954545454544829,10,10
"vary_k",10000,45,"SVP BIC multiscale",0.0649999999999977,0.0640000000000782,1.01562499999872,10,10
"vary_k",10000,46,"PELT",0.0029999999999859,0.00300000000015643,0.999999999943157,10,10
"vary_k",10000,46,"SVP BIC",0.0620000000000118,0.0640000000000782,0.968749999999001,10,10
"vary_k",10000,46,"SVP BIC calibrated",0.0620000000000118,0.0640000000000782,0.968749999999001,10,10
"vary_k",10000,46,"SVP BIC multiscale",0.0635000000000047,0.0625000000001137,1.01599999999823,10,10
"vary_k",10000,47,"PELT",0.00300000000004275,0.00300000000015643,0.999999999962107,10,10
"vary_k",10000,47,"SVP BIC",0.061000000000007,0.0629999999999882,0.968253968254261,10,10
"vary_k",10000,47,"SVP BIC calibrated",0.0609999999999786,0.0630000000001019,0.968253968252062,10,10
"vary_k",10000,47,"SVP BIC multiscale",0.0629999999999882,0.0615000000000236,1.02439024390185,10,10
"vary_k",10000,48,"PELT",0.0029999999999859,0.00299999999992906,1.00000000001895,10,10
"vary_k",10000,48,"SVP BIC",0.0600000000000023,0.0620000000001255,0.967741935481949,10,10
"vary_k",10000,48,"SVP BIC calibrated",0.0600000000000023,0.0619999999998981,0.967741935485499,10,10
"vary_k",10000,48,"SVP BIC multiscale",0.0609999999999786,0.0599999999999454,1.01666666666724,10,10
"vary_k",10000,49,"PELT",0.0029999999999859,0.00299999999992906,1.00000000001895,10,10
"vary_k",10000,49,"SVP BIC",0.0590000000000259,0.0609999999999218,0.967213114755763,10,10
"vary_k",10000,49,"SVP BIC calibrated",0.0590000000000259,0.0610000000000355,0.96721311475396,10,10
"vary_k",10000,49,"SVP BIC multiscale",0.0609999999999786,0.0579999999999927,1.0517241379308,10,10
"vary_k",10000,50,"PELT",0.0029999999999859,0.00300000000004274,0.999999999981052,10,10
"vary_k",10000,50,"SVP BIC",0.0579999999999927,0.0589999999999691,0.983050847458018,10,10
"vary_k",10000,50,"SVP BIC calibrated",0.0579999999999927,0.0599999999999454,0.966666666667425,10,10
