"pattern","jump","method","new_F1","new_Precision","new_Recall","new_CorrectNumCP","new_MSE","new_NumSegments","old_F1","old_Precision","old_Recall","old_CorrectNumCP","old_MSE","old_NumSegments","delta_F1","delta_Precision","delta_Recall","delta_CorrectNumCP","delta_MSE","delta_NumSegments"
"none",2,"RFPOP",0.99,0.99,0.99,0.99,0.00274723626379612,1.01,0.930190476190476,0.906166666666667,1,0.85,0.0124788167161037,1.3,0.0598095238095238,0.0838333333333333,-0.01,0.14,-0.00973158045230757,-0.29
"none",2,"SVP MedianMood",1,1,1,1,0.0206941653477644,1,0.996666666666667,0.995,1,0.99,0.0213636330021044,1.01,0.0033333333333333,0.005,0,0.01,-0.000669467654340058,-0.01
"none",2,"SVP Wilcoxon",1,1,1,1,0.0206941653477644,1,0.993333333333333,0.99,1,0.98,0.0220586105271046,1.02,0.00666666666666671,0.01,0,0.02,-0.00136444517934021,-0.02
"none",2.1,"PELT",0,0,0,0,7.94641400327529,77.19,0.0260755897084243,0.0132134201170227,1,0,7.94641400327529,77.19,-0.0260755897084243,-0.0132134201170227,-1,0,0,0
"none",2.1,"RFPOP",0.99,0.99,0.99,0.99,0.00342322043670908,1.01,0.975666666666667,0.9675,1,0.95,0.00625322819496954,1.1,0.0143333333333333,0.0225,-0.01,0.04,-0.00283000775826047,-0.0900000000000001
"none",2.1,"SVP MedianMood",0.99,0.99,0.99,0.99,0.00998357637025941,1.01,0.996666666666667,0.995,1,0.99,0.00998357637025941,1.01,-0.00666666666666671,-0.005,-0.01,0,0,0
"none",2.1,"SVP Wilcoxon",1,1,1,1,0.00943804805635648,1,1,1,1,1,0.00943804805635648,1,0,0,0,0,0,0
"none",2.2,"PELT",0,0,0,0,8.01211391923821,77.7,0.0259270194750393,0.013137399592772,1,0,8.01211391923821,77.7,-0.0259270194750393,-0.013137399592772,-1,0,0,0
"none",2.2,"RFPOP",1,1,1,1,0.00185936436077049,1,0.935,0.913666666666667,1,0.87,0.0106754035768204,1.27,0.065,0.0863333333333334,0,0.13,-0.00881603921604988,-0.27
"none",2.2,"SVP MedianMood",1,1,1,1,0.0073656331969896,1,0.993333333333333,0.99,1,0.98,0.00773743393375541,1.02,0.00666666666666671,0.01,0,0.02,-0.000371800736765814,-0.02
"none",2.2,"SVP Wilcoxon",0.99,0.99,0.99,0.99,0.00887578327351851,1.01,0.99,0.985,1,0.97,0.01060241153449,1.03,0,0.005,-0.01,0.02,-0.00172662826097149,-0.02
"none",2.3,"PELT",0,0,0,0,11.8451511654057,78.43,0.0257100195987828,0.013026301445745,1,0,11.8451511654057,78.43,-0.0257100195987828,-0.013026301445745,-1,0,0,0
"none",2.3,"RFPOP",0.97,0.97,0.97,0.97,0.00317317517722173,1.03,0.941666666666667,0.918333333333333,1,0.86,0.00870028967413531,1.21,0.0283333333333333,0.0516666666666666,-0.03,0.11,-0.00552711449691358,-0.18
"none",2.3,"SVP MedianMood",1,1,1,1,0.0120782042147707,1,0.99,0.985,1,0.97,0.0144707024518923,1.03,0.01,0.015,0,0.03,-0.00239249823712165,-0.03
"none",2.3,"SVP Wilcoxon",1,1,1,1,0.0120782042147707,1,0.99,0.985,1,0.97,0.0160445046564855,1.03,0.01,0.015,0,0.03,-0.00396630044171483,-0.03
"none",2.4,"PELT",0,0,0,0,10.5907118874386,79,0.025566213484589,0.0129527217171794,1,0,10.5907118874386,79,-0.025566213484589,-0.0129527217171794,-1,0,0,0
