"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","MSE","NumSegments"
"up",0.8,1,"SVP FOCUS TRUE/TRUE c=1.8",0.571428571428571,0.5,0.533333333333333,0,0.0664108569458929,7
"updown",0.8,1,"PELT",0.625,0.625,0.625,1,0.0290448899211532,8
"updown",0.8,1,"SVP",0.625,0.625,0.625,1,0.0346174397125263,8
"updown",0.8,1,"SVP (BIC)",0.666666666666667,0.5,0.571428571428572,0,0.0767759698749294,6
"updown",0.8,1,"SVP FOCUS TRUE/TRUE c=1.8",0.555555555555556,0.625,0.588235294117647,0,0.0283966003802738,9
"rand1",0.8,1,"PELT",0.6,0.375,0.461538461538462,0,0.031314365616711,5
"rand1",0.8,1,"SVP",0.6,0.375,0.461538461538462,0,0.031314365616711,5
"rand1",0.8,1,"SVP (BIC)",0.6,0.375,0.461538461538462,0,0.031314365616711,5
"rand1",0.8,1,"SVP FOCUS TRUE/TRUE c=1.8",0.6,0.375,0.461538461538462,0,0.031314365616711,5
"none",0.9,1,"PELT",1,1,1,1,0.000540367815860396,1
"none",0.9,1,"SVP",1,1,1,1,0.000540367815860396,1
"none",0.9,1,"SVP (BIC)",1,1,1,1,0.000540367815860396,1
"none",0.9,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.000540367815860396,1
"up",0.9,1,"PELT",0.625,0.625,0.625,1,0.0312373197195499,8
"up",0.9,1,"SVP",0.625,0.625,0.625,1,0.0312373197195499,8
"up",0.9,1,"SVP (BIC)",0.428571428571429,0.375,0.4,0,0.113983960266522,7
"up",0.9,1,"SVP FOCUS TRUE/TRUE c=1.8",0.625,0.625,0.625,1,0.0312373197195499,8
"updown",0.9,1,"PELT",0.625,0.625,0.625,1,0.0321294668985922,8
"updown",0.9,1,"SVP",0.333333333333333,0.25,0.285714285714286,0,0.135498886108193,6
"updown",0.9,1,"SVP (BIC)",0.666666666666667,0.25,0.363636363636364,0,0.169987647992028,3
"updown",0.9,1,"SVP FOCUS TRUE/TRUE c=1.8",0.333333333333333,0.25,0.285714285714286,0,0.15266974391692,6
"rand1",0.9,1,"PELT",0.833333333333333,0.625,0.714285714285714,0,0.0117040618006242,6
"rand1",0.9,1,"SVP",1,0.625,0.769230769230769,0,0.0117695165914362,5
"rand1",0.9,1,"SVP (BIC)",1,0.625,0.769230769230769,0,0.0117695165914362,5
"rand1",0.9,1,"SVP FOCUS TRUE/TRUE c=1.8",1,0.625,0.769230769230769,0,0.0117695165914362,5
"none",1,1,"PELT",1,1,1,1,0.000101469797449102,1
"none",1,1,"SVP",1,1,1,1,0.000101469797449102,1
"none",1,1,"SVP (BIC)",1,1,1,1,0.000101469797449102,1
"none",1,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.000101469797449102,1
"up",1,1,"PELT",0.75,0.75,0.75,1,0.0220429505834144,8
"up",1,1,"SVP",0.75,0.75,0.75,1,0.0220429505834144,8
"up",1,1,"SVP (BIC)",0.75,0.75,0.75,1,0.0220429505834144,8
"up",1,1,"SVP FOCUS TRUE/TRUE c=1.8",0.75,0.75,0.75,1,0.0220429505834144,8
"updown",1,1,"PELT",0.875,0.875,0.875,1,0.0244821620960062,8
"updown",1,1,"SVP",0.875,0.875,0.875,1,0.0244821620960062,8
"updown",1,1,"SVP (BIC)",0.875,0.875,0.875,1,0.0244821620960062,8
"updown",1,1,"SVP FOCUS TRUE/TRUE c=1.8",0.875,0.875,0.875,1,0.0244821620960062,8
"rand1",1,1,"PELT",1,0.625,0.769230769230769,0,0.021448033016702,5
"rand1",1,1,"SVP",0.75,0.375,0.5,0,0.0795919239608411,4
"rand1",1,1,"SVP (BIC)",0.75,0.375,0.5,0,0.0782423170419911,4
"rand1",1,1,"SVP FOCUS TRUE/TRUE c=1.8",1,0.625,0.769230769230769,0,0.021448033016702,5
"none",1.1,1,"PELT",1,1,1,1,1.95765835594904e-06,1
"none",1.1,1,"SVP",1,1,1,1,1.95765835594904e-06,1
"none",1.1,1,"SVP (BIC)",1,1,1,1,1.95765835594904e-06,1
"none",1.1,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,1.95765835594904e-06,1
"up",1.1,1,"PELT",0.625,0.625,0.625,1,0.0278442888346679,8
"up",1.1,1,"SVP",0.625,0.625,0.625,1,0.0278442888346679,8
"up",1.1,1,"SVP (BIC)",0.625,0.625,0.625,1,0.0278442888346679,8
"up",1.1,1,"SVP FOCUS TRUE/TRUE c=1.8",0.625,0.625,0.625,1,0.0278442888346679,8
