"experiment","n","k","rep","method","time","detected"
"vary_n",3183,0,2,"SVP BIC",0.0240000000000009,17
"vary_n",3183,0,2,"SVP AR1",0.0080000000000009,1
"vary_n",3183,0,2,"SVP AR1 estimated rho",0.0080000000000009,1
"vary_n",3183,0,3,"SVP BIC",0.0179999999999989,20
"vary_n",3183,0,3,"SVP AR1",0.0080000000000009,1
"vary_n",3183,0,3,"SVP AR1 estimated rho",0.0080000000000009,1
"vary_n",3183,0,4,"SVP BIC",0.0150000000000006,17
"vary_n",3183,0,4,"SVP AR1",0.00799999999999912,1
"vary_n",3183,0,4,"SVP AR1 estimated rho",0.00900000000000034,1
"vary_n",3183,0,5,"SVP BIC",0.0150000000000006,19
"vary_n",3183,0,5,"SVP AR1",0.00799999999999912,1
"vary_n",3183,0,5,"SVP AR1 estimated rho",0.0080000000000009,1
"vary_n",3183,0,6,"SVP BIC",0.0130000000000017,20
"vary_n",3183,0,6,"SVP AR1",0.00799999999999912,1
"vary_n",3183,0,6,"SVP AR1 estimated rho",0.0080000000000009,1
"vary_n",3183,0,7,"SVP BIC",0.0180000000000007,18
"vary_n",3183,0,7,"SVP AR1",0.00900000000000034,1
"vary_n",3183,0,7,"SVP AR1 estimated rho",0.0080000000000009,1
"vary_n",3183,0,8,"SVP BIC",0.0119999999999987,27
"vary_n",3183,0,8,"SVP AR1",0.00799999999999912,1
"vary_n",3183,0,8,"SVP AR1 estimated rho",0.0080000000000009,1
"vary_n",3183,0,9,"SVP BIC",0.0150000000000006,15
"vary_n",3183,0,9,"SVP AR1",0.00799999999999912,1
"vary_n",3183,0,9,"SVP AR1 estimated rho",0.00799999999999912,1
"vary_n",3183,0,10,"SVP BIC",0.016,21
"vary_n",3183,0,10,"SVP AR1",0.00799999999999912,1
"vary_n",3183,0,10,"SVP AR1 estimated rho",0.00900000000000034,1
"vary_n",4362,0,1,"SVP BIC",0.0199999999999996,24
"vary_n",4362,0,1,"SVP AR1",0.016,1
"vary_n",4362,0,1,"SVP AR1 estimated rho",0.0150000000000006,1
"vary_n",4362,0,2,"SVP BIC",0.0229999999999997,28
"vary_n",4362,0,2,"SVP AR1",0.0150000000000006,1
"vary_n",4362,0,2,"SVP AR1 estimated rho",0.0150000000000006,1
"vary_n",4362,0,3,"SVP BIC",0.0259999999999998,18
"vary_n",4362,0,3,"SVP AR1",0.0150000000000006,1
"vary_n",4362,0,3,"SVP AR1 estimated rho",0.0150000000000006,1
"vary_n",4362,0,4,"SVP BIC",0.0250000000000004,29
"vary_n",4362,0,4,"SVP AR1",0.016,1
"vary_n",4362,0,4,"SVP AR1 estimated rho",0.0150000000000006,1
"vary_n",4362,0,5,"SVP BIC",0.0240000000000009,24
"vary_n",4362,0,5,"SVP AR1",0.0150000000000006,1
"vary_n",4362,0,5,"SVP AR1 estimated rho",20.763,2
"vary_n",4362,0,6,"SVP BIC",0.0210000000000008,24
"vary_n",4362,0,6,"SVP AR1",0.0159999999999982,1
"vary_n",4362,0,6,"SVP AR1 estimated rho",0.0150000000000006,1
"vary_n",4362,0,7,"SVP BIC",0.0249999999999986,24
"vary_n",4362,0,7,"SVP AR1",0.0150000000000006,1
"vary_n",4362,0,7,"SVP AR1 estimated rho",0.0160000000000053,1
"vary_n",4362,0,8,"SVP BIC",0.0350000000000037,22
"vary_n",4362,0,8,"SVP AR1",0.0150000000000006,1
"vary_n",4362,0,8,"SVP AR1 estimated rho",0.0150000000000006,1
"vary_n",4362,0,9,"SVP BIC",0.0220000000000056,22
"vary_n",4362,0,9,"SVP AR1",0.0150000000000006,1
"vary_n",4362,0,9,"SVP AR1 estimated rho",0.0150000000000006,1
"vary_n",4362,0,10,"SVP BIC",0.027000000000001,24
"vary_n",4362,0,10,"SVP AR1",0.0150000000000006,1
"vary_n",4362,0,10,"SVP AR1 estimated rho",0.0159999999999982,1
"vary_n",5978,0,1,"SVP BIC",0.0339999999999989,36
"vary_n",5978,0,1,"SVP AR1",0.0290000000000035,1
"vary_n",5978,0,1,"SVP AR1 estimated rho",0.0290000000000035,1
"vary_n",5978,0,2,"SVP BIC",0.027000000000001,43
"vary_n",5978,0,2,"SVP AR1",0.0289999999999964,1
"vary_n",5978,0,2,"SVP AR1 estimated rho",0.0289999999999964,1
"vary_n",5978,0,3,"SVP BIC",0.0320000000000036,34
"vary_n",5978,0,3,"SVP AR1",0.0289999999999964,1
"vary_n",5978,0,3,"SVP AR1 estimated rho",0.0289999999999964,1
"vary_n",5978,0,4,"SVP BIC",0.0410000000000039,22
"vary_n",5978,0,4,"SVP AR1",0.0279999999999987,1
"vary_n",5978,0,4,"SVP AR1 estimated rho",0.0290000000000035,1
"vary_n",5978,0,5,"SVP BIC",0.0359999999999943,32
"vary_n",5978,0,5,"SVP AR1",0.0289999999999964,1
"vary_n",5978,0,5,"SVP AR1 estimated rho",0.0279999999999987,1
"vary_n",5978,0,6,"SVP BIC",0.0339999999999989,29
"vary_n",5978,0,6,"SVP AR1",0.0289999999999964,1
"vary_n",5978,0,6,"SVP AR1 estimated rho",0.0279999999999987,1
"vary_n",5978,0,7,"SVP BIC",0.0459999999999994,32
"vary_n",5978,0,7,"SVP AR1",0.0279999999999987,1
"vary_n",5978,0,7,"SVP AR1 estimated rho",0.0289999999999964,1
"vary_n",5978,0,8,"SVP BIC",0.0429999999999993,26
"vary_n",5978,0,8,"SVP AR1",0.0289999999999964,1
"vary_n",5978,0,8,"SVP AR1 estimated rho",0.0300000000000011,1
"vary_n",5978,0,9,"SVP BIC",0.0429999999999993,37
"vary_n",5978,0,9,"SVP AR1",0.0279999999999987,1
"vary_n",5978,0,9,"SVP AR1 estimated rho",0.0290000000000035,1
"vary_n",5978,0,10,"SVP BIC",0.0309999999999988,32
"vary_n",5978,0,10,"SVP AR1",0.0279999999999987,1
"vary_n",5978,0,10,"SVP AR1 estimated rho",0.0279999999999987,1
"vary_n",8192,0,1,"SVP BIC",0.0530000000000044,39
"vary_n",8192,0,1,"SVP AR1",0.0539999999999949,1
"vary_n",8192,0,1,"SVP AR1 estimated rho",0.0530000000000044,1
"vary_n",8192,0,2,"SVP BIC",0.0670000000000002,31
"vary_n",8192,0,2,"SVP AR1",0.0529999999999973,1
"vary_n",8192,0,2,"SVP AR1 estimated rho",0.054000000000002,1
"vary_n",8192,0,3,"SVP BIC",0.0560000000000045,37
"vary_n",8192,0,3,"SVP AR1",0.0539999999999949,1
"vary_n",8192,0,3,"SVP AR1 estimated rho",0.0529999999999973,1
"vary_n",8192,0,4,"SVP BIC",0.0529999999999973,51
"vary_n",8192,0,4,"SVP AR1",0.054000000000002,1
"vary_n",8192,0,4,"SVP AR1 estimated rho",0.0530000000000044,1
"vary_n",8192,0,5,"SVP BIC",0.068000000000005,30
"vary_n",8192,0,5,"SVP AR1",0.0529999999999973,1
"vary_n",8192,0,5,"SVP AR1 estimated rho",0.0530000000000044,1
"vary_n",8192,0,6,"SVP BIC",0.0419999999999945,46
"vary_n",8192,0,6,"SVP AR1",0.0529999999999973,1
"vary_n",8192,0,6,"SVP AR1 estimated rho",0.0530000000000044,1
"vary_n",8192,0,7,"SVP BIC",0.0499999999999972,39
"vary_n",8192,0,7,"SVP AR1",0.054000000000002,1
"vary_n",8192,0,7,"SVP AR1 estimated rho",0.0539999999999949,1
"vary_n",8192,0,8,"SVP BIC",0.0739999999999981,30
"vary_n",8192,0,8,"SVP AR1",0.0539999999999949,1
"vary_n",8192,0,8,"SVP AR1 estimated rho",0.0529999999999973,1
"vary_n",8192,0,9,"SVP BIC",0.0620000000000047,38
"vary_n",8192,0,9,"SVP AR1",0.0530000000000044,1
"vary_n",8192,0,9,"SVP AR1 estimated rho",0.0530000000000044,1
"vary_n",8192,0,10,"SVP BIC",0.0650000000000048,39
"vary_n",8192,0,10,"SVP AR1",0.0530000000000044,1
"vary_n",8192,0,10,"SVP AR1 estimated rho",0.0530000000000044,1
"vary_k",2000,0,1,"SVP BIC",0.0139999999999958,10
"vary_k",2000,0,1,"SVP AR1",0.00300000000000011,1
"vary_k",2000,0,1,"SVP AR1 estimated rho",0.00399999999999778,1
"vary_k",2000,0,2,"SVP BIC",0.00900000000000034,10
"vary_k",2000,0,2,"SVP AR1",0.00300000000000011,1
"vary_k",2000,0,2,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_k",2000,0,3,"SVP BIC",0.00900000000000034,12
"vary_k",2000,0,3,"SVP AR1",0.00300000000000011,1
"vary_k",2000,0,3,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_k",2000,0,4,"SVP BIC",0.00799999999999557,18
"vary_k",2000,0,4,"SVP AR1",0.00300000000000011,1
"vary_k",2000,0,4,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_k",2000,0,5,"SVP BIC",0.00600000000000023,20
"vary_k",2000,0,5,"SVP AR1",0.00300000000000011,1
"vary_k",2000,0,5,"SVP AR1 estimated rho",0.00399999999999778,1
"vary_k",2000,1,1,"SVP BIC",0.00800000000000267,16
"vary_k",2000,1,1,"SVP AR1",0.545999999999999,2
"vary_k",2000,1,1,"SVP AR1 estimated rho",0.554000000000002,2
"vary_k",2000,1,2,"SVP BIC",0.0069999999999979,20
"vary_k",2000,1,2,"SVP AR1",0.546999999999997,2
"vary_k",2000,1,2,"SVP AR1 estimated rho",0.544000000000004,2
"vary_k",2000,1,3,"SVP BIC",0.00600000000000023,20
"vary_k",2000,1,3,"SVP AR1",0.543999999999997,2
"vary_k",2000,1,3,"SVP AR1 estimated rho",0.548000000000002,2
"vary_k",2000,1,4,"SVP BIC",0.00900000000000034,16
"vary_k",2000,1,4,"SVP AR1",0.540999999999997,2
"vary_k",2000,1,4,"SVP AR1 estimated rho",0.542000000000002,2
"vary_k",2000,1,5,"SVP BIC",0.00900000000000034,17
"vary_k",2000,1,5,"SVP AR1",0.552999999999997,2
"vary_k",2000,1,5,"SVP AR1 estimated rho",0.555,2
"vary_k",2000,2,1,"SVP BIC",0.00600000000000023,20
"vary_k",2000,2,1,"SVP AR1",0.254999999999995,3
"vary_k",2000,2,1,"SVP AR1 estimated rho",0.256999999999998,3
"vary_k",2000,2,2,"SVP BIC",0.0069999999999979,17
"vary_k",2000,2,2,"SVP AR1",0.261999999999993,3
"vary_k",2000,2,2,"SVP AR1 estimated rho",0.264000000000003,3
